d3mIndex,log(wdi.pop),nvc.start.1
678,15.12870290232607,0.0
679,15.156338300812356,0.0
680,15.18449470813621,0.0
681,15.213079125702214,0.0
682,15.241979023769119,0.0
683,15.271159091960573,0.0
684,15.300393808948613,0.0
685,15.329788199357171,0.0
686,15.35995651314085,1.0
687,15.391648117276965,0.0
688,15.425202638095028,0.0
689,15.460802947207116,0.0
690,15.4978691379849,0.0
691,15.535132932096676,0.0
692,15.571088982894564,0.0
693,15.604876832451554,0.0
694,15.636232858998511,0.0
695,15.665743474145241,0.0
696,15.694440044375716,0.0
697,15.723643328899847,0.0
698,15.754160990358319,0.0
699,15.786100915351842,0.0
700,15.81898100834591,0.0
701,15.852263911742707,0.0
702,15.885254731793106,0.0
703,15.917491419954025,0.0
704,15.948927724614311,0.0
705,15.979694132786376,0.0
706,16.009763279263186,0.0
707,16.039137180287355,0.0
713,12.32009305582599,0.0
714,12.342995779690805,0.0
715,12.366310475297082,0.0
716,12.390159310270796,0.0
717,12.414662808156853,0.0
718,12.439950378821814,0.0
719,12.465910644751954,0.0
720,12.492652861160623,0.0
721,12.520715488064564,0.0
722,12.550732698878193,0.0
723,12.582983946220276,0.0
724,12.617380650621595,0.0
725,12.653392814361904,0.0
726,12.69029656054082,0.0
727,12.727250499574955,0.0
728,12.763629171783775,0.0
729,12.799416065256189,0.0
