d3mIndex,log(wdi.pop),wdi.popurb.mi,I(wdi.manuf.mi + wdi.servs.mi),wdi.sch2.mi,log1p(wdi.mobp100),ios.gattwto,nvc.start.1
79,14.777857052269932,33.5,55.093503884717805,87.92941,0.0,0.0,0.0
80,14.798336690883554,33.762,31.6570672039612,89.34275,0.0,0.0,0.0
81,14.818366433947642,34.024,42.445742266249205,89.4662,0.0,0.0,0.0
82,14.839499151772973,34.287,27.922916297226077,84.31098,0.0,0.0,0.0
83,14.860708005108751,34.552,35.443637690844696,78.42949,0.0,0.0,0.0
84,14.881747371288952,34.817,36.1165686316473,77.77678,0.0,0.0,0.0
85,14.902307317377666,35.083,38.1776678396559,79.83455,0.0,0.0,0.0
86,14.92163952548604,35.35,37.16699258134671,82.01321,0.0,0.0,0.0
87,14.941609925047315,35.619,36.550166775312704,80.74214,0.0,0.0,0.0
88,14.960477030336106,35.88800000000001,41.421191322646095,80.81227,0.0,0.0,0.0
89,14.987355650223508,36.158,30.84859373825998,80.45369000000002,0.0,0.0,1.0
90,15.005346506156824,36.428,34.2167061382636,81.13849,0.0,0.0,0.0
91,14.999318409362026,36.7,35.250337868027394,81.49051999999998,0.0,0.0,0.0
92,14.993254062100007,37.249,36.316792689658705,69.81645,0.0,0.0,0.0
93,14.987152404172704,37.799,36.937110478125,63.43,0.0,0.0,0.0
94,14.98101359910341,38.354,37.1167424254397,62.40033,0.0,0.0,0.0
95,14.974836562519041,38.911,32.7183460243817,63.02645,0.0,0.0,0.0
96,14.968621448528864,39.473,56.89258502500721,63.19075,0.06657467629490617,0.0,0.0
97,14.962367147559867,40.035,56.46143786346767,64.14553000000001,0.09445519745325916,0.0,0.0
98,14.956073803634608,40.601,58.334187737870614,65.89133000000001,0.1556335438873969,0.0,0.0
99,14.949740280894735,41.169,60.426887327913285,66.4433,0.2865104040716735,0.0,0.0
100,14.943366712555301,41.74100000000001,58.93749207948912,66.67894,0.6425936193679403,1.0,0.0
101,14.935268036340478,42.435,59.84517195315821,69.04971,2.561008748322703,1.0,0.0
102,14.931119908019548,43.50100000000001,61.510909839128416,71.49871999999998,3.298630419940481,1.0,0.0
103,14.925280039693375,44.573,63.37817103089259,75.26388,3.5541205323135108,1.0,0.0
104,14.918970743235981,45.651,64.5620709094971,75.6674,3.6929699935754448,1.0,0.0
105,14.91169456741403,46.731,65.8099177802217,79.22522,3.889327959906191,1.0,0.0
106,14.903408317187171,47.815,68.502104301917,80.58608000000002,4.1119772286173735,1.0,0.0
107,14.894219414255545,48.902,69.20896726077041,82.2449,4.308788839653804,1.0,0.0
108,14.884542634161642,49.99100000000001,70.9849509029945,82.39508000000002,4.092882685636897,1.0,0.0
109,14.874793834281624,51.076,78.59332126860501,104.251384139835,4.371781680170287,1.0,0.0
111,16.311717369747598,34.662,49.23671065311789,20.8632198462173,0.0,0.0,0.0
112,16.336682837791308,36.141,52.417920559468996,3.61821976653237,0.0,0.0,0.0
113,16.362694110858694,37.643,62.6935709422239,19.406441222416397,0.0,0.0,0.0
114,16.3898702680722,38.84,64.07644990285499,17.841919484570802,0.0,0.0,0.0
115,16.41794665570246,39.004,61.59838922303751,12.3874271907935,0.0,0.0,0.0
116,16.446466949116967,39.169,61.2059495815844,14.2364609361744,0.0,0.0,0.0
117,16.47484841186923,39.334,63.605481030621704,17.3486071710147,0.0,0.0,0.0
118,16.502735749315427,39.5,62.473981248600396,19.3735146324966,0.0,0.0,0.0
119,16.530086884178036,39.665,66.1152665485897,9.58296,0.0,0.0,0.0
120,16.55711751352866,39.831,59.723658256462706,11.55675,0.0,0.0,0.0
121,16.584065781574346,39.997,56.4867767232805,13.01683,0.0,0.0,0.0
122,16.611246247680697,40.163,43.928286611523255,14.2907,0.0,0.0,0.0
123,16.63888245700375,40.33,49.06061768495486,15.64761,0.0,0.0,0.0
124,16.666879094609634,40.497,46.6403616538023,18.10257,0.0,0.0,0.0
125,16.695188450876483,40.928,46.6784956301461,21.32147,0.0,0.0,0.0
126,16.724078806514882,41.794,49.26129815250381,25.25081,0.0,0.0,0.0
127,16.75386204589672,42.665,47.93301117201421,28.02283,0.0,0.0,0.0
128,16.78465262463413,43.542,44.3931381735299,30.172690000000006,0.0,0.0,0.0
129,16.81642592604687,44.42,44.3059484595559,32.33417,0.0,0.0,0.0
130,16.848854943874432,45.303,46.638877543127286,35.36934,0.0,0.0,0.0
131,16.881388012175254,46.18899999999999,48.2501154066634,38.61331,0.0,0.0,0.0
132,16.91336986008675,47.07899999999999,50.493827580852496,41.9016,0.0,0.0,0.0
133,16.944349502711407,47.968,51.1384846775043,45.00029,0.0,0.0,0.0
134,16.974185448747715,48.86,57.414868441158106,49.2178,0.0,0.0,0.0
135,17.002926592457396,49.722,55.585829279837206,51.66789,0.0,0.0,0.0
136,17.030576373957675,50.511,57.428836966648795,52.68595,0.0,0.0,0.0
137,17.057188272546956,51.298,53.747434322698204,59.2567,0.0,0.0,0.0
138,17.082784393929465,52.085,51.8503921516772,58.73647,0.0017895762217414399,0.0,0.0
139,17.107401240611456,52.871,48.120593512226705,57.23974000000001,0.01762125192246359,0.0,0.0
140,17.130973964593228,53.657,50.4699902870519,56.9668,0.017214241598788368,0.0,0.0
141,17.153326437772712,54.43899999999999,52.399034284930714,57.02432,0.016836914488370876,0.0,0.0
142,17.174243938027885,55.219,53.3382047310194,57.85013000000001,0.004677291770844024,0.0,0.0
143,17.193625682217863,55.997,50.5994811434542,57.45376,0.015875114904756314,0.0,0.0
144,17.2115348489022,56.774,46.041761995372255,57.26973,0.03845337389703861,0.0,0.0
145,17.228157673865105,57.544,46.93104038338671,57.27395,0.05575603911701004,0.0,0.0
146,17.243688501968187,58.313,51.229016847215405,76.8309575293499,0.05676098847710567,0.0,0.0
147,17.258371020334508,59.118,48.97052505004178,62.55411,0.20718187500790636,0.0,0.0
148,17.272440583836037,59.919,39.96973076229996,61.92001,0.2399039321233697,0.0,0.0
149,17.285929167260353,60.712,49.851603482141506,65.4966,0.2708207726496483,0.0,0.0
150,17.298993576207117,61.50100000000001,57.645255673081316,68.7787,0.8680506068286501,0.0,0.0
151,17.312122417021875,62.284,50.035256868070604,71.19436999999998,1.6834631651188714,0.0,0.0
152,17.325901449965514,63.06100000000001,49.096390960625705,74.84863,2.746707079657892,0.0,0.0
153,17.34072050915992,63.83,43.87202205001009,76.74296,3.7190864213227304,0.0,0.0
154,17.356678961592202,64.593,40.48566377743819,78.13794,4.124726824178376,0.0,0.0
155,17.37362743987304,65.348,48.904593876604004,68.85041,4.376170604795015,0.0,0.0
156,17.391371834558676,66.097,42.974762934863065,75.40405,4.339440369863253,0.0,0.0
157,17.409620491091562,66.822,67.1034219112998,91.61072,4.510401886064579,0.0,0.0
159,15.73371661088968,17.737000000000005,45.10063945717771,26.7498174284429,0.0,0.0,0.0
160,15.75992673445526,18.228,47.6693662195464,39.1303405593014,0.0,0.0,0.0
