d3mIndex,pmid,py,py2,py3,minpol,rbal,lnkmdist,mido
28597,0,76,5776,438976.0,7.0,0.25384003426962903,7.685703061234549,0
28598,0,77,5929,456533.0,7.0,0.25478336725792394,7.685703061234549,0
28599,0,78,6084,474552.0,7.0,0.24525043177892894,7.685703061234549,0
28600,0,79,6241,493039.0,7.0,0.2498676236983,7.685703061234549,0
28601,0,80,6400,512000.0,7.0,0.260006091989034,7.685703061234549,0
28602,0,81,6561,531441.0,-10.0,0.309931300470049,7.685703061234549,0
28603,0,82,6724,551368.0,-2.0,0.6914236985300091,7.685703061234549,0
28604,0,83,6889,571787.0,-2.0,,7.685703061234549,0
28605,0,84,7056,592704.0,-2.0,,7.685703061234549,0
28606,0,85,7225,614125.0,-2.0,,7.685703061234549,0
28607,0,86,7396,636056.0,-10.0,,7.685703061234549,0
28608,0,87,7569,658503.0,-10.0,,7.685703061234549,0
28609,0,88,7744,681472.0,4.0,,7.685703061234549,0
28610,0,89,7921,704969.0,,,7.685703061234549,0
28611,0,71,5041,357911.0,-6.0,0.131320660951671,8.14554963178358,0
28612,0,72,5184,373248.0,7.0,0.13081764723264694,8.14554963178358,0
28613,0,73,5329,389017.0,-7.0,0.13533901313453994,8.14554963178358,0
28614,0,74,5476,405224.0,-7.0,0.159204126750184,8.14554963178358,0
28615,0,75,5625,421875.0,-7.0,0.13856277357451402,8.14554963178358,0
28616,0,76,5776,438976.0,1.0,0.119325700477533,8.14554963178358,0
28617,0,77,5929,456533.0,1.0,0.1238620299689,8.14554963178358,0
28618,0,78,6084,474552.0,1.0,0.1150311461214,8.14554963178358,0
28619,0,79,6241,493039.0,1.0,0.118913621727565,8.14554963178358,0
28620,0,80,6400,512000.0,1.0,0.121167385873268,8.14554963178358,0
28621,0,81,6561,531441.0,-10.0,0.144840599301566,8.14554963178358,0
28622,0,82,6724,551368.0,-10.0,0.7091516443010999,8.14554963178358,0
28623,0,83,6889,571787.0,-2.0,,8.14554963178358,0
28624,0,84,7056,592704.0,-2.0,,8.14554963178358,0
28625,0,85,7225,614125.0,-2.0,,8.14554963178358,0
28626,0,86,7396,636056.0,-10.0,,8.14554963178358,0
28627,0,87,7569,658503.0,-10.0,,8.14554963178358,0
28628,0,88,7744,681472.0,4.0,,8.14554963178358,0
28629,0,89,7921,704969.0,,,8.14554963178358,0
28630,0,71,5041,357911.0,-6.0,0.0181740027510316,8.43836641087027,0
28631,0,72,5184,373248.0,7.0,0.0184342351270659,8.43836641087027,0
28632,0,73,5329,389017.0,-7.0,0.0182164955842418,8.43836641087027,0
28633,0,74,5476,405224.0,-7.0,0.0210228444870013,8.43836641087027,0
28634,0,75,5625,421875.0,-7.0,0.0183745094044429,8.43836641087027,0
28635,0,76,5776,438976.0,7.0,0.0158896763072208,8.43836641087027,0
28636,0,77,5929,456533.0,7.0,0.0162723322066635,8.43836641087027,0
28637,0,78,6084,474552.0,7.0,0.0150830888466455,8.43836641087027,0
28638,0,79,6241,493039.0,7.0,0.0153423766775644,8.43836641087027,0
28639,0,80,6400,512000.0,7.0,0.0157678709310359,8.43836641087027,0
28640,0,81,6561,531441.0,-10.0,0.0194233057008516,8.43836641087027,0
28641,0,82,6724,551368.0,-2.0,0.0967592374306505,8.43836641087027,0
28642,0,83,6889,571787.0,-2.0,,8.43836641087027,0
28643,0,84,7056,592704.0,-2.0,,8.43836641087027,0
28644,0,85,7225,614125.0,-2.0,,8.43836641087027,0
28645,0,86,7396,636056.0,-10.0,,8.43836641087027,0
28646,0,87,7569,658503.0,-10.0,,8.43836641087027,0
28647,0,88,7744,681472.0,4.0,,8.43836641087027,0
28648,0,89,7921,704969.0,,,8.43836641087027,0
28649,0,71,5041,357911.0,-6.0,0.5133559980573089,8.26539293085222,0
28650,0,72,5184,373248.0,7.0,0.506753663003663,8.26539293085222,0
28651,0,73,5329,389017.0,-7.0,0.5095789708175539,8.26539293085222,0
